Date;CWindow;Eta;CT;SF;Mean_SSD_Est(cm);SD_SSD_Est(cm);Mean_SSWE_Est(mm);SD_SSWE_Est(mm);SSD_Actual(cm);SSWE_Actual(mm);Mean_TVOL;SD_TVOL;Mean_TSURF;SD_TSURF;Mean_KZ;SD_KZ
2015-12-29;(5, 5);0.6;0.0;1;2430.43505859375;292.53033447265625;9284.26171875;1117.466064453125;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.00028288006433285773;2.71031649390352e-06
2015-12-29;(5, 5);0.6;0.0;2;1215.217529296875;146.26516723632812;4642.130859375;558.7330322265625;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.0005657601286657155;5.42063298780704e-06
2015-12-29;(5, 5);0.6;0.0;3;810.14501953125;97.51011149088544;1547.376953125;186.24432373046875;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.0008486401929985732;8.130949481710559e-06
2015-12-29;(5, 5);0.6;0.0;4;607.6087646484375;73.13258361816406;386.84423828125;46.56108093261719;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.001131520257331431;1.084126597561408e-05
2015-12-29;(5, 5);0.6;0.0;5;486.08701171875;58.50606689453125;77.36885070800781;9.312217712402344;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.0014144003216642886;1.3551582469517598e-05
2015-12-29;(5, 5);0.6;0.0;6;405.072509765625;48.75505574544272;12.894807815551758;1.5520361661911009;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.0016972803859971464;1.6261898963421118e-05
2015-12-29;(5, 5);0.6;0.0;7;347.20500837053567;41.790047781808035;1.84211540222168;0.2217194885015488;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.001980160450330004;1.8972215457324637e-05
2015-12-29;(5, 5);0.6;0.0;8;303.80438232421875;36.56629180908203;0.23026442527771;0.0277149360626936;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.002263040514662862;2.168253195122816e-05
2015-12-29;(5, 5);0.6;0.0;9;270.04833984375;32.50337049696181;0.025584936141967773;0.0030794364865869284;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.002545920578995719;2.4392848445131676e-05
2015-12-29;(5, 5);0.6;0.0;10;243.043505859375;29.253033447265626;0.00255849352106452;0.0003079437010455877;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.0028288006433285773;2.7103164939035203e-05
2015-12-29;(5, 5);0.6;0.0;11;220.9486416903409;26.59366677024148;0.00023259033332578838;2.7994879928883165e-05;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.003111680707661435;2.9813481432938715e-05
2015-12-29;(5, 5);0.6;0.0;12;202.5362548828125;24.37752787272136;1.938252717081923e-05;2.3329071154876146e-06;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.0033945607719942927;3.2523797926842235e-05
2015-12-29;(5, 5);0.6;0.0;13;186.95654296875;22.50233342097356;1.4909636547599805e-06;1.7945440333733131e-07;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.0036774408363271496;3.523411442074575e-05
2015-12-29;(5, 5);0.6;0.0;14;173.60250418526786;20.895023890904017;1.0649741000179348e-07;1.2818172301365394e-08;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.003960320900660008;3.7944430914649274e-05
2015-12-29;(5, 5);0.6;0.0;15;162.02900390625;19.502022298177085;7.099826504486373e-09;8.545446017471647e-10;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.004243200964992866;4.06547474085528e-05
2015-12-29;(5, 5);0.6;0.0;16;151.90219116210938;18.283145904541016;4.437391565303983e-10;5.3409037609197796e-11;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.004526081029325724;4.3365063902456307e-05
2015-12-29;(5, 5);0.6;0.0;17;142.96676815257354;17.207666733685667;2.6102302611019645e-11;3.1417082477225296e-12;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.004808961093658581;4.6075380396359826e-05
2015-12-29;(5, 5);0.6;0.0;18;135.024169921875;16.251685248480904;1.4501279951145696e-12;1.7453935161320514e-13;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.005091841157991439;4.878569689026335e-05
2015-12-29;(5, 5);0.6;0.0;19;127.91763466282896;15.396333393297697;7.632253390486149e-14;9.186284071209699e-15;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.005374721222324297;5.149601338416687e-05
2015-12-29;(5, 5);0.6;0.0;20;121.5217529296875;14.626516723632813;3.816126102320011e-15;4.593142035604849e-16;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.0056576012866571546;5.420632987807039e-05
