Date;CWindow;Eta;CT;SF;Mean_SSD_Est(cm);SD_SSD_Est(cm);Mean_SSWE_Est(mm);SD_SSWE_Est(mm);SSD_Actual(cm);SSWE_Actual(mm);Mean_TVOL;SD_TVOL;Mean_TSURF;SD_TSURF;Mean_KZ(rad/cm);SD_KZ(rad/cm)
2015-12-29;(5, 5);0.6;0.0;1;243.04351806640625;29.253028869628906;928.4262084960938;111.74659729003906;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.0028288005851209164;2.7103113097837195e-05
2015-12-29;(5, 5);0.6;0.0;2;121.52175903320312;14.626514434814453;464.2131042480469;55.87329864501953;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.005657601170241833;5.420622619567439e-05
2015-12-29;(5, 5);0.6;0.0;3;81.01450602213542;9.751009623209637;154.73770141601562;18.62442970275879;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.008486401755362749;8.130933929351158e-05
2015-12-29;(5, 5);0.6;0.0;4;60.76087951660156;7.3132572174072275;38.684425354003906;4.656107425689697;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.011315202340483664;0.00010841245239134878
2015-12-29;(5, 5);0.6;0.0;5;48.60870361328125;5.850605773925781;7.736885070800781;0.9312214851379396;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.014144002925604582;0.00013551556548918597
2015-12-29;(5, 5);0.6;0.0;6;40.50725301106771;4.8755048116048165;1.2894808053970337;0.15520358085632324;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.016972803510725498;0.00016261867858702317
2015-12-29;(5, 5);0.6;0.0;7;34.72050258091518;4.1790041242327005;0.18421155214309687;0.022171938791871067;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.01980160409584641;0.0001897217916848604
2015-12-29;(5, 5);0.6;0.0;8;30.38043975830078;3.656628608703613;0.023026444017887115;0.002771492348983884;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.02263040468096733;0.0002168249047826976
2015-12-29;(5, 5);0.6;0.0;9;27.004835340711807;3.2503365410698786;0.0025584937538951635;0.00030794358463026583;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.025459205266088247;0.00024392801788053475
2015-12-29;(5, 5);0.6;0.0;10;24.304351806640625;2.9253028869628905;0.00025584935792721813;3.0794359190622345e-05;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.028288005851209164;0.00027103113097837195
2015-12-29;(5, 5);0.6;0.0;11;22.094865278764203;2.659366260875355;2.3259031877387315e-05;2.7994879019388463e-06;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.03111680643633008;0.0002981342440762092
2015-12-29;(5, 5);0.6;0.0;12;20.253626505533852;2.4377524058024087;1.938252580657717e-06;2.33290634810146e-07;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.033945607021451;0.00032523735717404634
2015-12-29;(5, 5);0.6;0.0;13;18.695655235877407;2.250232989971454;1.4909636547599805e-07;1.7945431807220302e-08;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.03677440760657191;0.00035234047027188353
2015-12-29;(5, 5);0.6;0.0;14;17.36025129045759;2.0895020621163503;1.064973975672956e-08;1.2818163197536596e-09;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.03960320819169283;0.00037944358336972073
2015-12-29;(5, 5);0.6;0.0;15;16.202901204427082;1.9502019246419269;7.099827392664793e-10;8.545444213359231e-11;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.04243200877681375;0.00040654669646755787
2015-12-29;(5, 5);0.6;0.0;16;15.19021987915039;1.8283143043518064;4.437392120415496e-11;5.340902633349519e-12;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.04526080936193466;0.0004336498095653951
2015-12-29;(5, 5);0.6;0.0;17;14.296677533318016;1.7207664040958182;2.61023060804666e-12;3.141707271940576e-13;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.04808960994705558;0.0004607529226632323
2015-12-29;(5, 5);0.6;0.0;18;13.502417670355904;1.6251682705349393;1.4501278595892983e-13;1.7453933806067797e-14;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.050918410532176495;0.0004878560357610695
2015-12-29;(5, 5);0.6;0.0;19;12.791764108758226;1.5396330984015214;7.632253051672972e-15;9.186279836044963e-16;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.05374721111729741;0.0005149591488589066
2015-12-29;(5, 5);0.6;0.0;20;12.152175903320312;1.4626514434814453;3.8161261552595696e-16;4.593140050371379e-17;36.7;140.19400000000002;0.2889446035080144;0.10415463986456083;0.26823024189256545;0.06702529624464865;0.05657601170241833;0.0005420622619567439
