Date;CWindow;Eta;CT;SF;Mean_SSD_Est(cm);SD_SSD_Est(cm);Mean_SSWE_Est(mm);SD_SSWE_Est(mm);SSD_Actual(cm);SSWE_Actual(mm);Mean_TVOL;SD_TVOL;Mean_TSURF;SD_TSURF;Mean_KZ(rad/cm);SD_KZ(rad/cm);Pass
2015-12-29;(5, 5);0.6;0.0;1;4341.8310546875;379.2789306640625;16585.794921875;1448.845458984375;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.00028288006433285773;2.71031649390352e-06;ASC
2015-12-29;(5, 5);0.6;0.0;2;2170.91552734375;189.63946533203125;8292.8974609375;724.4227294921875;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.0005657601286657157;5.420632987807039e-06;ASC
2015-12-29;(5, 5);0.6;0.0;3;1447.277018229167;126.42631022135416;5528.59814453125;482.9483947753906;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.0008486401929985733;8.130949481710559e-06;ASC
2015-12-29;(5, 5);0.6;0.0;4;1085.457763671875;94.81973266601562;4146.44873046875;362.21136474609375;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.0011315202573314313;1.0841265975614078e-05;ASC
2015-12-29;(5, 5);0.6;0.0;5;868.3662109375;75.8557861328125;3317.1591796875;289.76910400390625;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.0014144003216642884;1.3551582469517598e-05;ASC
2015-12-29;(5, 5);0.6;0.0;6;723.6385091145835;63.21315511067709;2764.299072265625;241.4741973876953;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.0016972803859971466;1.6261898963421118e-05;ASC
2015-12-29;(5, 5);0.6;0.0;7;620.2615792410714;54.18270438058035;2369.3994140625;206.97799682617188;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.001980160450330004;1.897221545732464e-05;ASC
2015-12-29;(5, 5);0.6;0.0;8;542.7288818359375;47.40986633300781;2073.224365234375;181.10568237304688;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.0022630405146628627;2.168253195122816e-05;ASC
2015-12-29;(5, 5);0.6;0.0;9;482.4256727430555;42.142103407118064;1842.8660888671875;160.98284912109375;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.00254592057899572;2.439284844513168e-05;ASC
2015-12-29;(5, 5);0.6;0.0;10;434.18310546875;37.92789306640625;1658.57958984375;144.88455200195312;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.002828800643328577;2.71031649390352e-05;ASC
2015-12-29;(5, 5);0.6;0.0;11;394.7119140625;34.47990278764205;1507.799560546875;131.71321105957028;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.003111680707661435;2.9813481432938715e-05;ASC
2015-12-29;(5, 5);0.6;0.0;12;361.81925455729174;31.606577555338546;1382.1495361328125;120.73709869384766;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.003394560771994293;3.2523797926842235e-05;ASC
2015-12-29;(5, 5);0.6;0.0;13;333.98700420673083;29.175302358774037;1275.830322265625;111.44964599609376;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.003677440836327151;3.5234114420745755e-05;ASC
2015-12-29;(5, 5);0.6;0.0;14;310.1307896205357;27.09135219029017;1184.69970703125;103.48899841308594;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.003960320900660008;3.794443091464928e-05;ASC
2015-12-29;(5, 5);0.6;0.0;15;289.4554036458333;25.285262044270834;1105.7196044921877;96.5896987915039;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.004243200964992866;4.0654747408552794e-05;ASC
2015-12-29;(5, 5);0.6;0.0;16;271.36444091796875;23.704933166503906;1036.6121826171877;90.55284118652344;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.004526081029325725;4.336506390245631e-05;ASC
2015-12-29;(5, 5);0.6;0.0;17;255.40182674632354;22.310525333180145;975.635009765625;85.22622680664062;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.004808961093658581;4.607538039635983e-05;ASC
2015-12-29;(5, 5);0.6;0.0;18;241.21283637152766;21.071051703559032;921.4330444335938;80.49142456054688;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.005091841157991439;4.8785696890263346e-05;ASC
2015-12-29;(5, 5);0.6;0.0;19;228.51742393092098;19.96204898231908;872.9366455078125;76.25503540039062;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.005374721222324297;5.149601338416687e-05;ASC
2015-12-29;(5, 5);0.6;0.0;20;217.091552734375;18.963946533203124;829.289794921875;72.44227600097656;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.005657601286657154;5.420632987807039e-05;ASC
2015-12-29;(5, 5);0.6;0.0;21;206.75385974702385;18.060901460193453;789.7997436523438;68.99265289306639;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.0059404813509900106;5.691664637197391e-05;ASC
2015-12-29;(5, 5);0.6;0.0;22;197.35595703125;17.239951393821023;753.8997802734375;65.85660552978516;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.00622336141532287;5.962696286587743e-05;ASC
2015-12-29;(5, 5);0.6;0.0;23;188.7752632472826;16.490388289741848;721.1215209960938;62.99326705932617;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.006506241479655728;6.233727935978095e-05;ASC
2015-12-29;(5, 5);0.6;0.0;24;180.90962727864587;15.803288777669273;691.0747680664062;60.36854934692383;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.006789121543988586;6.504759585368447e-05;ASC
2015-12-29;(5, 5);0.6;0.0;25;173.6732421875;15.1711572265625;663.4318237304688;57.95382308959961;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.007072001608321444;6.775791234758799e-05;ASC
2015-12-29;(5, 5);0.6;0.0;26;166.99350210336542;14.587651179387018;637.9151611328125;55.72482299804688;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.007354881672654302;7.046822884149151e-05;ASC
2015-12-29;(5, 5);0.6;0.0;27;160.8085575810185;14.047367802372685;614.2887573242188;53.66094589233398;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.007637761736987158;7.317854533539503e-05;ASC
2015-12-29;(5, 5);0.6;0.0;28;155.06539481026786;13.545676095145087;592.349853515625;51.74449920654297;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.007920641801320016;7.588886182929855e-05;ASC
2015-12-29;(5, 5);0.6;0.0;29;149.71831223060346;13.078583816002155;571.9240112304688;49.96018981933594;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.008203521865652874;7.859917832320208e-05;ASC
2015-12-29;(5, 5);0.6;0.0;30;144.72770182291666;12.642631022135415;552.8598022460939;48.29484939575195;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.008486401929985732;8.130949481710559e-05;ASC
2015-12-29;(5, 5);0.6;0.0;31;140.05906628024192;12.23480421496976;535.025634765625;46.73695373535156;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.008769281994318591;8.401981131100911e-05;ASC
2015-12-29;(5, 5);0.6;0.0;32;135.68222045898438;11.852466583251953;518.3060913085939;45.27642059326172;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.009052162058651449;8.673012780491264e-05;ASC
2015-12-29;(5, 5);0.6;0.0;33;131.57063802083334;11.493300929214016;502.5998229980469;43.90441513061523;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.009335042122984305;8.944044429881615e-05;ASC
2015-12-29;(5, 5);0.6;0.0;34;127.70091337316177;11.155262666590072;487.8175048828125;42.61311340332031;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.009617922187317164;9.215076079271968e-05;ASC
2015-12-29;(5, 5);0.6;0.0;35;124.05231584821428;10.836540876116073;473.8798828125;41.39558792114258;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.00990080225165002;9.48610772866232e-05;ASC
2015-12-29;(5, 5);0.6;0.0;36;120.60641818576387;10.535525851779513;460.7165222167969;40.24571228027344;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.010183682315982878;9.75713937805267e-05;ASC
2015-12-29;(5, 5);0.6;0.0;37;117.34678526182432;10.250781909839525;448.2647705078125;39.15798950195313;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.010466562380315736;0.00010028171027443022;ASC
2015-12-29;(5, 5);0.6;0.0;38;114.25871196546049;9.98102449115954;436.4683227539063;38.12751770019531;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.010749442444648594;0.00010299202676833374;ASC
2015-12-29;(5, 5);0.6;0.0;39;111.32900140224359;9.725100786258013;425.2767639160156;37.14988327026367;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.011032322508981451;0.00010570234326223725;ASC
2015-12-29;(5, 5);0.6;0.0;40;108.5457763671875;9.481973266601562;414.6448974609375;36.22113800048828;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.011315202573314307;0.00010841265975614078;ASC
2015-12-29;(5, 5);0.6;0.0;41;105.8983184070122;9.250705625952744;404.5315856933594;35.33769226074219;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.011598082637647169;0.00011112297625004429;ASC
2015-12-29;(5, 5);0.6;0.0;42;103.37692987351193;9.030450730096726;394.8998718261719;34.496326446533196;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.011880962701980023;0.00011383329274394782;ASC
2015-12-29;(5, 5);0.6;0.0;43;100.9728152252907;8.820440248001452;385.7161865234375;33.694076538085945;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.012163842766312879;0.00011654360923785134;ASC
2015-12-29;(5, 5);0.6;0.0;44;98.677978515625;8.619975696910512;376.9498901367188;32.92830276489258;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.01244672283064574;0.00011925392573175486;ASC
2015-12-29;(5, 5);0.6;0.0;45;96.48513454861113;8.428420681423614;368.5732116699219;32.196571350097656;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.012729602894978598;0.00012196424222565835;ASC
2015-12-29;(5, 5);0.6;0.0;46;94.3876316236413;8.245194144870924;360.5607604980469;31.49663352966309;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.013012482959311455;0.0001246745587195619;ASC
2015-12-29;(5, 5);0.6;0.0;47;92.37938414228724;8.069764482214094;352.8892517089844;30.826494216918945;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.013295363023644313;0.00012738487521346542;ASC
2015-12-29;(5, 5);0.6;0.0;48;90.45481363932294;7.9016443888346375;345.5373840332031;30.184274673461914;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.013578243087977173;0.00013009519170736894;ASC
2015-12-29;(5, 5);0.6;0.0;49;88.60879703443878;7.7403863400829085;338.4856262207031;29.56828117370605;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.013861123152310029;0.00013280550820127246;ASC
2015-12-29;(5, 5);0.6;0.0;50;86.83662109375;7.58557861328125;331.7159118652344;28.976911544799805;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.014144003216642888;0.00013551582469517598;ASC
2015-12-29;(5, 5);0.6;0.0;51;85.13394224877452;7.4368417777267135;325.211669921875;28.40874290466309;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.014426883280975744;0.0001382261411890795;ASC
2015-12-29;(5, 5);0.6;0.0;52;83.49675105168271;7.293825589693509;318.95758056640625;27.86241149902344;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.014709763345308604;0.00014093645768298302;ASC
2015-12-29;(5, 5);0.6;0.0;53;81.92134065448113;7.156206238944576;312.93951416015625;27.33671760559082;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.01499264340964146;0.00014364677417688654;ASC
2015-12-29;(5, 5);0.6;0.0;54;80.40427879050925;7.023683901186343;307.1443786621094;26.83047294616699;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.015275523473974316;0.00014635709067079006;ASC
2015-12-29;(5, 5);0.6;0.0;55;78.9423828125;6.895980557528409;301.5599060058594;26.342641830444336;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.015558403538307175;0.00014906740716469358;ASC
2015-12-29;(5, 5);0.6;0.0;56;77.53269740513393;6.7728380475725425;296.1749267578125;25.872249603271484;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.015841283602640033;0.0001517777236585971;ASC
2015-12-29;(5, 5);0.6;0.0;57;76.17247464364036;6.654016327439692;290.9788513183594;25.418344497680664;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.01612416366697289;0.00015448804015250062;ASC
2015-12-29;(5, 5);0.6;0.0;58;74.85915611530173;6.539291908001077;285.9620056152344;24.98009490966797;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.016407043731305748;0.00015719835664640416;ASC
2015-12-29;(5, 5);0.6;0.0;59;73.59035685911017;6.428456451933262;281.1151733398437;24.55670166015625;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.016689923795638606;0.00015990867314030766;ASC
2015-12-29;(5, 5);0.6;0.0;60;72.36385091145833;6.321315511067708;276.42990112304693;24.147424697875977;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.016972803859971464;0.00016261898963421118;ASC
2015-12-29;(5, 5);0.6;0.0;61;71.17755827356558;6.217687387935452;271.89828491210943;23.75156021118164;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.017255683924304318;0.0001653293061281147;ASC
2015-12-29;(5, 5);0.6;0.0;62;70.02953314012096;6.11740210748488;267.5128173828125;23.36847686767578;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.017538563988637186;0.0001680396226220182;ASC
2015-12-29;(5, 5);0.6;0.0;63;68.91795324900794;6.020300486731151;263.2666015625;22.997547149658203;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.017821444052970037;0.00017074993911592173;ASC
2015-12-29;(5, 5);0.6;0.0;64;67.84111022949219;5.9262332916259775;259.15304565429693;22.63821029663086;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.01810432411730289;0.00017346025560982525;ASC
2015-12-29;(5, 5);0.6;0.0;65;66.79740084134616;5.835060471754807;255.16607666015625;22.28993034362793;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.018387204181635752;0.00017617057210372877;ASC
2015-12-29;(5, 5);0.6;0.0;66;65.78531901041667;5.746650464607008;251.29991149902344;21.952207565307614;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.01867008424596861;0.00017888088859763232;ASC
2015-12-29;(5, 5);0.6;0.0;67;64.80344857742537;5.660879562150186;247.54917907714844;21.62456512451172;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.018952964310301468;0.0001815912050915358;ASC
2015-12-29;(5, 5);0.6;0.0;68;63.850456686580884;5.577631333295036;243.90875244140625;21.30655670166016;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.019235844374634332;0.00018430152158543933;ASC
2015-12-29;(5, 5);0.6;0.0;69;62.9250877490942;5.496796096580616;240.37384033203125;20.99776268005371;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.019518724438967183;0.00018701183807934285;ASC
2015-12-29;(5, 5);0.6;0.0;70;62.02615792410714;5.418270438058037;236.93994140625;20.69779396057129;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.01980160450330004;0.0001897221545732464;ASC
2015-12-29;(5, 5);0.6;0.0;71;61.152550066021135;5.341956769916373;233.60272216796875;20.406272888183594;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.0200844845676329;0.0001924324710671499;ASC
2015-12-29;(5, 5);0.6;0.0;72;60.303209092881936;5.267762925889756;230.35826110839844;20.12285614013672;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.02036736463196576;0.0001951427875610534;ASC
2015-12-29;(5, 5);0.6;0.0;73;59.477137735445204;5.1956017899186655;227.2026672363281;19.84720039367676;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.020650244696298614;0.0001978531040549569;ASC
2015-12-29;(5, 5);0.6;0.0;74;58.67339263091216;5.125390954919762;224.13238525390625;19.57899475097656;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.020933124760631472;0.00020056342054886045;ASC
2015-12-29;(5, 5);0.6;0.0;75;57.89108072916667;5.057052408854167;221.14393615722656;19.31793975830078;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.02121600482496433;0.000203273737042764;ASC
2015-12-29;(5, 5);0.6;0.0;76;57.129355982730246;4.99051224557977;218.23416137695312;19.063758850097656;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.021498884889297187;0.00020598405353666754;ASC
2015-12-29;(5, 5);0.6;0.0;77;56.38741629464285;4.925700398234579;215.3999328613281;18.81617927551269;36.7;140.19400000000002;0.39850533986352815;0.1465694849755281;0.37870834124424657;0.1718820334836171;0.021781764953630045;0.000208694370030571;ASC
