Date Scale CWindow Epsilon CThreshold SWindow Mean_SSD(cm) SD_SSD(cm) Mean_SSWE(mm) SD_SSWE(mm) Actual_SSD(cm) Actual_SSWE(mm)
12/29/2015 40 3 0.65 0.6 (57,57) 38.047897 0.6390377 145.34296 2.4411256 36.70 140.19
01/08/2016 5 3 0.65 0.6 (57,57) 54.6353 0.57923484 172.10118 1.8245902 54.90 172.94
01/09/2016 3 3 0.65 0.6 (57,57) 53.554512 0.30318943 162.80573 0.92169696 56.00 170.24
01/19/2016 5 3 0.65 0.6 (57,57) 43.082233 0.17186926 149.49536 0.5963839 42.80 148.52
01/20/2016 4 3 0.65 0.6 (57,57) 39.56797 0.35595003 133.73975 1.2031097 42.80 144.66
01/30/2016 5 3 0.65 0.6 (57,57) 71.77103 0.2719113 150.71916 0.57101667 70.00 147.00

