CWindow Epsilon CThreshold SWindow Mean_SSD(cm) SD_SSD(cm) Mean_SWE(mm) SD_SWE(mm)
5 0.1 0.6 (49,49) 43.93464 0.32072487 173.10248 1.2636545
5 0.4 0.6 (49,49) 49.45838 0.3628481 155.79388 1.1429712
5 0.5 0.6 (49,49) 51.408916 0.38019794 161.93806 1.1976198
5 0.5 0.6 (51,51) 51.22425 0.51499665 161.35638 1.6222407
5 0.6 0.6 (49,49) 53.4049 0.39814016 168.22543 1.254141
5 0.6 0.6 (65,65) 57.73337 0.8930009 181.86012 2.8129535
5 0.55 0.6 (65,65) 56.680515 0.8781854 178.54362 2.766282
5 0.5 0.6 (65,65) 55.63896 0.86332166 175.26274 2.7194645
5 0.5 0.6 (55,55) 51.27022 0.38794172 161.5012 1.222014
5 0.5 0.6 (61,61) 53.24477 0.859306 167.72102 2.7068117
5 0.65 0.6 (49,49) 54.422523 0.40727046 171.43097 1.2828988
3 0.65 0.6 (51,51) 54.2313 0.53423315 170.82858 1.6828345
CWindow Epsilon CThreshold SWindow Mean_SSD(cm) SD_SSD(cm) Mean_SWE(mm) SD_SWE(mm)
3 0.65 0.6 (55,55) 54.26564 0.4066284 170.93675 1.2808836
CWindow Epsilon CThreshold SWindow Mean_SSD(cm) SD_SSD(cm) Mean_SWE(mm) SD_SWE(mm)
3 0.65 0.6 (57,57) 54.643085 0.56159395 172.12572 1.7690221
CWindow Epsilon CThreshold SWindow Mean_SSD(cm) SD_SSD(cm) Mean_SWE(mm) SD_SWE(mm)
3 0.65 0.6 (59,59) 55.38457 0.8936237 174.4614 2.8149142
CWindow Epsilon CThreshold SWindow Mean_SSD(cm) SD_SSD(cm) Mean_SWE(mm) SD_SWE(mm)
3 0.65 0.6 (57,57) 54.643085 0.56159395 172.12572 1.7690221
CWindow Epsilon CThreshold SWindow Mean_SSD(cm) SD_SSD(cm) Mean_SWE(mm) SD_SWE(mm)
3 0.68 0.6 (49,49) 54.422523 0.40727046 171.43097 1.2828988
CWindow Epsilon CThreshold SWindow Mean_SSD(cm) SD_SSD(cm) Mean_SWE(mm) SD_SWE(mm)
3 0.7 0.6 (49,49) 54.422523 0.40727046 171.43097 1.2828988
CWindow Epsilon CThreshold SWindow Mean_SSD(cm) SD_SSD(cm) Mean_SWE(mm) SD_SWE(mm)
3 0.65 0.6 (57,57) 54.6353 0.5792345 172.10118 1.8245889
