CWindow Epsilon CThreshold SWindow Mean_SSD(cm) SD_SSD(cm) Mean_SWE(mm) SD_SWE(mm)
5 0.005 0.6 (3,3) 22.7408 30.67471 89.598755 120.85835
5 0.005 0.6 (5,5) 22.372105 12.075221 88.14609 47.57637
5 0.005 0.6 (7,7) 29.865553 14.522597 117.67027 57.219032
5 0.005 0.6 (9,9) 27.029545 8.580504 106.49641 33.80719
5 0.005 0.6 (11,11) 27.658379 2.9573448 108.97401 11.651939
5 0.005 0.6 (13,13) 25.587109 2.8885496 100.8132 11.380884
5 0.005 0.6 (15,15) 27.521227 3.9328501 108.43363 15.495431
5 0.005 0.6 (17,17) 28.07959 2.9216342 110.633575 11.511237
5 0.005 0.6 (19,19) 27.957659 0.40584293 110.153175 1.599021
5 0.005 0.6 (21,21) 25.964123 0.78426784 102.29864 3.090017
5 0.005 0.6 (23,23) 24.845215 1.4708731 97.890144 5.79524
5 0.005 0.6 (25,25) 23.92051 0.97258264 94.24681 3.8319752
5 0.005 0.6 (27,27) 23.217165 0.42455184 91.47563 1.6727319
5 0.005 0.6 (29,29) 22.705305 0.44103387 89.4589 1.7376752
5 0.005 0.6 (31,31) 22.2708 0.5334704 87.74696 2.1018722
5 0.005 0.6 (33,33) 22.428173 0.5602936 88.367004 2.2075582
5 0.005 0.6 (35,35) 22.516739 0.53239083 88.71595 2.0976193
5 0.005 0.6 (37,37) 22.28612 0.14590587 87.80731 0.57486784
5 0.005 0.6 (39,39) 21.898756 0.2681241 86.2811 1.0564079
5 0.005 0.6 (41,41) 22.370142 0.9060963 88.13836 3.5700214
5 0.005 0.6 (43,43) 22.928364 0.85044616 90.33775 3.3507595
5 0.005 0.6 (45,45) 23.33025 0.24405465 91.92117 0.9615743
5 0.005 0.6 (47,47) 23.191175 0.28002253 91.37324 1.1032877
5 0.005 0.6 (49,49) 22.874489 0.2605592 90.12549 1.0266025
5 0.005 0.6 (51,51) 22.893003 0.29702833 90.19843 1.170293
5 0.005 0.6 (53,53) 22.806301 0.35566968 89.85682 1.4013386
5 0.005 0.6 (55,55) 22.977564 0.3929617 90.53159 1.5482699
5 0.005 0.6 (57,57) 22.998005 0.37430224 90.61214 1.4747509
5 0.005 0.6 (59,59) 23.37806 0.4409409 92.10954 1.737308
5 0.005 0.6 (61,61) 23.94335 0.460323 94.3368 1.8136755
5 0.005 0.6 (63,63) 24.671373 0.32823253 97.20521 1.2932366
5 0.005 0.6 (65,65) 25.076979 0.24762744 98.8033 0.9756535
