CWindow Epsilon CThreshold SWindow Mean_SSD(cm) SD_SSD(cm) Mean_SWE(mm) SD_SWE(mm)
3 0.65 0.6 (45,45) 55.319096 0.6339374 174.25516 1.9968997
3 0.65 0.6 (47,47) 55.04154 0.5645149 173.38084 1.7782196
3 0.65 0.6 (49,49) 54.427105 0.4066794 171.44537 1.2810447
3 0.65 0.6 (51,51) 54.237034 0.5335527 170.84666 1.6806915
3 0.65 0.6 (53,53) 53.983135 0.42574015 170.04688 1.3410761
3 0.65 0.6 (55,55) 54.28151 0.40507907 170.98676 1.2760001
3 0.65 0.6 (57,57) 54.6353 0.5792345 172.10118 1.8245889
3 0.65 0.6 (59,59) 55.35305 0.9065842 174.36212 2.8557386
3 0.65 0.6 (61,61) 56.278667 0.89383304 177.2778 2.8155723
3 0.65 0.6 (63,63) 57.505108 0.7731803 181.14107 2.4355195
3 0.65 0.6 (65,65) 58.74722 0.90935415 185.05376 2.8644667
CWindow Epsilon CThreshold SWindow Mean_SSD(cm) SD_SSD(cm) Mean_SWE(mm) SD_SWE(mm)
3 0.4 0.6 (45,45) 50.312183 0.53533 158.48337 1.6862898
3 0.4 0.6 (47,47) 50.06636 0.4638914 157.70903 1.4612588
3 0.4 0.6 (49,49) 49.45969 0.362581 155.79802 1.1421303
3 0.4 0.6 (51,51) 49.280293 0.5004129 155.23294 1.5762988
3 0.4 0.6 (53,53) 49.056747 0.4090485 154.52875 1.2885003
3 0.4 0.6 (55,55) 49.343628 0.37330383 155.43243 1.175907
3 0.4 0.6 (57,57) 49.647636 0.54132235 156.39006 1.7051659
3 0.4 0.6 (59,59) 50.29902 0.84049034 158.44188 2.6475463
3 0.4 0.6 (61,61) 51.1776 0.82578677 161.20944 2.6012301
3 0.4 0.6 (63,63) 52.343136 0.7030205 164.88087 2.2145174
3 0.4 0.6 (65,65) 53.533066 0.83443874 168.62917 2.6284811
CWindow Epsilon CThreshold SWindow Mean_SSD(cm) SD_SSD(cm) Mean_SWE(mm) SD_SWE(mm)
(3, 3) 0.65 0.6 (47,47) 22.38421 0.32117742 70.51027 1.0117081
CWindow Epsilon CThreshold SWindow Mean_SSD(cm) SD_SSD(cm) Mean_SWE(mm) SD_SWE(mm)
(1, 3) 0.65 0.6 (47,47) 57.374058 0.42287132 180.72827 1.3320497
CWindow Epsilon CThreshold SWindow Mean_SSD(cm) SD_SSD(cm) Mean_SWE(mm) SD_SWE(mm)
CWindow Epsilon CThreshold SWindow Mean_SSD(cm) SD_SSD(cm) Mean_SWE(mm) SD_SWE(mm)
CWindow Epsilon CThreshold SWindow Mean_SSD(cm) SD_SSD(cm) Mean_SWE(mm) SD_SWE(mm)
3 0.6 0.65 (47,47) 47.45463 0.3903577 149.4821 1.2296288
CWindow Epsilon CThreshold SWindow Mean_SSD(cm) SD_SSD(cm) Mean_SWE(mm) SD_SWE(mm)
3 0.65 0.6 (47,47) 55.04154 0.5645149 173.38084 1.7782196
