Pass;CWindow;SF;RMSE_SSD;RMSE_SSWE;R2_SSD;R2_SSWE;MAE_SSD;MAE_SSWE
ASC;(5, 5);72.0;43.6;138.09;1.0;1.0;43.17;137.54
ASC;(5, 5);73.0;43.69;138.36;1.0;1.0;43.26;137.81
ASC;(5, 5);74.0;43.77;138.62;1.0;1.0;43.34;138.07
ASC;(5, 5);75.0;43.85;138.88;1.0;1.0;43.42;138.33
ASC;(5, 5);76.0;43.93;139.13;1.0;1.0;43.5;138.58
ASC;(5, 5);77.0;44.01;139.38;1.0;1.0;43.57;138.83
ASC;(5, 5);78.0;44.08;139.62;1.0;1.0;43.65;139.07
ASC;(5, 5);79.0;44.15;139.85;1.0;1.0;43.72;139.3
ASC;(5, 5);80.0;44.23;140.07;1.0;1.0;43.79;139.53
ASC;(5, 5);81.0;44.3;140.3;1.0;1.0;43.86;139.75
ASC;(5, 5);82.0;44.36;140.51;1.0;1.0;43.93;139.97
ASC;(5, 5);83.0;44.43;140.72;1.0;1.0;44.0;140.18
ASC;(5, 5);84.0;44.49;140.93;1.0;1.0;44.06;140.38
ASC;(5, 5);85.0;44.56;141.13;1.0;1.0;44.12;140.58
ASC;(5, 5);86.0;44.62;141.32;1.0;1.0;44.18;140.78
ASC;(5, 5);87.0;44.68;141.51;1.0;1.0;44.24;140.97
ASC;(5, 5);88.0;44.74;141.7;1.0;1.0;44.3;141.16
ASC;(5, 5);89.0;44.79;141.88;1.0;1.0;44.36;141.34
ASC;(5, 5);90.0;44.85;142.06;1.0;1.0;44.42;141.52
ASC;(5, 5);91.0;44.9;142.24;1.0;1.0;44.47;141.69
ASC;(5, 5);92.0;44.96;142.41;1.0;1.0;44.52;141.87
ASC;(5, 5);93.0;45.01;142.58;1.0;1.0;44.58;142.03
ASC;(5, 5);94.0;45.06;142.74;1.0;1.0;44.63;142.2
ASC;(5, 5);95.0;45.11;142.9;1.0;1.0;44.68;142.36
ASC;(5, 5);96.0;45.16;143.06;1.0;1.0;44.73;142.52
ASC;(5, 5);97.0;45.21;143.21;1.0;1.0;44.78;142.67
ASC;(5, 5);98.0;45.26;143.36;1.0;1.0;44.82;142.82
ASC;(5, 5);99.0;45.3;143.51;1.0;1.0;44.87;142.97
ASC;(5, 5);100.0;45.35;143.65;1.0;1.0;44.91;143.11
DESC;(5, 5);1.0;995.39;2741.68;0.93;0.95;971.07;2711.67
DESC;(5, 5);2.0;469.26;1292.78;0.93;0.95;457.58;1277.76
DESC;(5, 5);3.0;293.89;809.83;0.93;0.95;286.42;799.79
DESC;(5, 5);4.0;206.21;568.38;0.93;0.95;200.84;560.8
DESC;(5, 5);5.0;153.6;423.52;0.93;0.95;149.49;417.41
DESC;(5, 5);6.0;118.54;326.97;0.93;0.95;115.26;321.82
DESC;(5, 5);7.0;93.5;258.03;0.93;0.95;90.81;253.54
DESC;(5, 5);8.0;74.72;206.34;0.93;0.95;72.47;202.33
DESC;(5, 5);9.0;60.13;166.17;0.93;0.95;58.21;162.5
DESC;(5, 5);10.0;48.46;134.06;0.93;0.95;46.8;130.63
DESC;(5, 5);11.0;38.93;107.83;0.93;0.95;37.46;104.56
DESC;(5, 5);12.0;30.99;86.03;0.93;0.95;29.68;82.83
DESC;(5, 5);13.0;24.3;67.66;0.93;0.95;23.1;64.45
DESC;(5, 5);14.0;18.6;52.02;0.93;0.95;17.45;48.69
DESC;(5, 5);15.0;13.71;38.67;0.93;0.95;12.56;35.04
DESC;(5, 5);16.0;9.53;27.34;0.93;0.95;8.29;23.09
DESC;(5, 5);17.0;6.09;18.17;0.93;0.95;4.87;13.8
DESC;(5, 5);18.0;3.81;12.23;0.93;0.95;3.08;9.86
DESC;(5, 5);19.0;3.78;11.83;0.93;0.95;3.66;10.91
DESC;(5, 5);20.0;5.51;15.95;0.93;0.95;4.55;12.76
DESC;(5, 5);21.0;7.62;21.4;0.93;0.95;7.0;19.59
DESC;(5, 5);22.0;9.7;26.94;0.93;0.95;9.22;25.79
DESC;(5, 5);23.0;11.67;32.23;0.93;0.95;11.25;31.46
DESC;(5, 5);24.0;13.5;37.19;0.93;0.95;13.11;36.66
DESC;(5, 5);25.0;15.2;41.82;0.93;0.95;14.82;41.44
DESC;(5, 5);26.0;16.78;46.13;0.93;0.95;16.4;45.85
DESC;(5, 5);27.0;18.25;50.15;0.93;0.95;17.86;49.93
